id,state,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,designation
55926,,Madurai,India,"Senior Apache Spark Technical Lead - Scala, Python","Python,Apache Spark,Scala",,0,0,Senior Technical Lead
5369,,,Costa Rica,,"Microservices,Vue JS,Java",,0,0,Analyst
55987,,Madurai,India,Workday Technical Consultant - EIB,"Workday (Technical) - Workday Studio,Workday Enterprise Interface Builder (EIB)",,0,0,Senior Software Developer
67362,,Bengaluru,India,,Azure API Management,,0,0,Senior Technical Lead
59206,,Bengaluru,India,,"Python,Embedded Device",,0,0,Senior Test Engineer
28504,,Chennai,India,,"ERP Data Management,Supplier Quality Management",,0,0,
69833,,Noida,India,,English,,0,0,Analyst
64348,,Nagpur,India,,Accounts Receivable,,0,0,Associate
77433,,Chennai,India,,Cisco Contact Center,,0,0,Senior Specialist
54490,,Noida,India,,Ivanti Shavlik,,0,0,Senior Specialist
59769,,Bengaluru,India,,"Power Platform - Power Automate (Online),Power Platform - Power Apps,Microsoft Power Platform","React.js,Github,Power Platform - Power Automate Desktop (RPA)",0,0,Lead Consultant
77110,,Bengaluru,India,,"Business Development,PLM-Business Process Planning",,0,0,Director
77649,,Pune,India,,"Microsoft Windows,ARABIC,English",,0,0,Analyst
77743,,Trivandrum,India,,Service Desk,,0,0,Senior Analyst
78104,,Cairo,Egypt,,"AMT Asset Management Software,Desk Side Services,Hardware Asset Management,MAC Hardware Mgmt,Hardware Mgmt - Printers,Windows PC",,0,0,Senior Specialist
77825,,Bengaluru,India,,"Python,Azure Databricks,Azure Data Factory (ADF),MS SQL",Gen AI,0,0,Senior Technical Specialist
39148,,Noida,India,,Program Management,,0,0,
7766197,,Noida,India,,Cisco Customer Voice Portal (CVP),,0,0,Senior Project Manager
ERS__ERS__2025__2627692,,Shanghai,China,,ENOVIA 3D Live,"TCL,",0,0,LEAD
DBS-__DBS-__2025__2643666,,Texas,USA,,PaaS - Oracle Integration Cloud,"Oracle Procurement Cloud,",0,0,Senior Technical Lead
DBS-__DBS-__2025__2617895,,Bengaluru,India,,Azure - DevOps,"CI/CD,PowerShell,Ansible,GIT,",0,0,LEAD
ERS__ERS__2025__SDWAN02,,Bengaluru,India,,"SolarWinds,BGP,OSPF",,0,0,SDWAN Network Engineer
ERS__ERS__2025__SDWAN01,,Bengaluru,India,,"SolarWinds,BGP,OSPF",,0,0,SDWAN Network Engineer
5283,,,Brazil,,"SQL,DevOps Solutions,Python,Amazon Glue",,0,0,AWS Senior Data Engineer
4780,,Manila,Philippines,,"SQL,Azure Data Factory (ADF)",SAFe- Lean Portfolio Mgt (LPM),0,0,Azure Data Engineer
4756,,,Sweden,,"Full Stack - .NET,Angular,ASP.Net MVC",,0,0,Microsoft Full Stack Architect with Angular
3394,,,Germany,,"Full Stack - Java,DevOps Solutions,React.js",AWS PaaS,0,0,"Full Stack Java Technical Lead with DevOps, React"
4496,,,Ireland,,"Full Stack - .NET,Angular,ASP.Net MVC",,0,0,Microsoft Full Stack Architect with Angular
5026,,Noida,India,,"React,Angular,Java",,0,0,"Developer with React, angular, java"
